timestamp_ns	dev_addr	fcnt	gw_id	src_ip
1774860970860343076	3241424006	8	2	10.0.1.2
1774860970861036429	858302800	8	2	10.0.1.2
1774860970861676578	2858622573	8	2	10.0.1.2
1774860970862432607	2016996413	8	2	10.0.1.2
1774860970863111794	2708439015	8	2	10.0.1.2
1774860970886237739	988493675	8	4	10.0.1.4
1774860970888091652	50818990	8	4	10.0.1.4
1774860970888462448	3564894126	8	4	10.0.1.4
1774860970889181034	3003182825	8	4	10.0.1.4
1774860970890226795	3606737687	8	4	10.0.1.4
1774860970890613450	2107002899	8	4	10.0.1.4
1774860970891231943	3959232199	8	4	10.0.1.4
1774860970892753705	2083919442	8	4	10.0.1.4
1774860970893229673	2229640354	8	4	10.0.1.4
1774860970893997259	232792703	8	4	10.0.1.4
1774860970894683906	3836325298	8	4	10.0.1.4
1774860970913987985	414743068	8	3	10.0.1.3
1774860970916287506	2206755353	8	3	10.0.1.3
1774860970917176289	3394290607	8	3	10.0.1.3
1774860970917757952	2067026700	8	3	10.0.1.3
1774860970918583324	570084675	8	3	10.0.1.3
1774860970920224630	477672769	8	1	10.0.1.1
1774860970920669001	2576063033	8	1	10.0.1.1
1774860970922107071	1707991444	8	1	10.0.1.1
1774860970923685355	2296563577	8	1	10.0.1.1
1774860970924438935	1377571547	8	1	10.0.1.1
1774860970925988531	4030909294	8	1	10.0.1.1
1774860970928022796	3428610663	8	1	10.0.1.1
1774860970945234872	2898369394	9	5	10.0.1.5
1774860970945928315	655392398	9	5	10.0.1.5
1774860970946144588	4018635622	9	5	10.0.1.5
1774860970946501680	488757598	9	5	10.0.1.5
1774860970947162360	2626208332	9	5	10.0.1.5
1774860970948078761	2745779158	9	5	10.0.1.5
1774860970948453627	1856183813	9	5	10.0.1.5
1774860970948849614	2076378537	9	5	10.0.1.5
1774860970949286481	3808189964	9	5	10.0.1.5
1774860970949991836	2901564217	9	5	10.0.1.5
1774860970950348410	1151514516	9	5	10.0.1.5
1774860970950696266	247694516	9	5	10.0.1.5
1774860970951119372	383471470	9	5	10.0.1.5
1774860970951481318	4259642430	9	5	10.0.1.5
1774860970952068507	933218567	9	5	10.0.1.5
1774860970952410625	2889841059	9	5	10.0.1.5
1774860970952785922	1564538605	9	5	10.0.1.5
1774860970981339793	1753606377	9	2	10.0.1.2
1774860970981892988	4119844090	9	2	10.0.1.2
1774860970983379739	3909572108	9	2	10.0.1.2
1774860970984730913	704937175	9	2	10.0.1.2
1774860970985505464	599416365	9	2	10.0.1.2
